                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77529,                0.53692,                0.92818,                0.97636,                0.95718,                 0.9815,                0.82999,                0.73518,                0.49481,                0.90395,              0.0001418,              0.0001418,              0.0001418
                     37,                0.78185,                0.54817,                0.93975,                0.97996,                0.95288,                0.97671,                0.81731,                0.75439,                0.49509,                0.91284,             0.00013647,             0.00013647,             0.00013647
                     38,                0.75102,                0.53706,                0.92778,                0.97266,                0.95109,                 0.9764,                0.82311,                0.74288,                0.48867,                0.90341,             0.00013114,             0.00013114,             0.00013114
                     39,                0.72997,                0.52162,                0.92322,                0.97775,                0.95296,                0.98441,                0.82875,                0.75338,                0.47775,                0.90299,             0.00012581,             0.00012581,             0.00012581
                     40,                0.74955,                0.53393,                0.93073,                0.97334,                0.95745,                0.98267,                0.83029,                0.73557,                0.48188,                0.90232,             0.00012048,             0.00012048,             0.00012048
                     41,                0.75222,                0.53104,                 0.9271,                0.96374,                0.96883,                0.98562,                0.82918,                0.75843,                0.48431,                 0.9092,             0.00011515,             0.00011515,             0.00011515
                     42,                0.73929,                0.51807,                 0.9233,                0.97579,                0.95905,                0.98242,                0.82644,                 0.7648,                 0.4832,                0.91039,             0.00010982,             0.00010982,             0.00010982
                     43,                0.72677,                0.49782,                0.91908,                  0.981,                 0.9562,                0.98646,                0.83283,                0.75245,                0.47384,                0.90834,             0.00010449,             0.00010449,             0.00010449
                     44,                0.73636,                0.50696,                0.91943,                0.97759,                0.95815,                0.98353,                0.82554,                0.75859,                0.47087,                0.90749,             9.9161e-05,             9.9161e-05,             9.9161e-05
                     45,                0.72564,                0.51676,                0.92092,                0.97322,                0.96235,                0.98356,                0.83404,                 0.7314,                0.46659,                0.89528,             9.3831e-05,             9.3831e-05,             9.3831e-05
                     46,                0.72909,                0.51252,                0.92232,                0.97984,                 0.9528,                0.98442,                0.83429,                 0.7264,                0.45781,                0.89058,             8.8502e-05,             8.8502e-05,             8.8502e-05
                     47,                 0.7118,                 0.5096,                0.91866,                0.98236,                0.95097,                0.97779,                0.82821,                0.72596,                0.46437,                0.89396,             8.3173e-05,             8.3173e-05,             8.3173e-05
                     48,                 0.7053,                0.48972,                0.91441,                0.98118,                0.95626,                0.98127,                0.83391,                0.72778,                0.46571,                0.89774,             7.7843e-05,             7.7843e-05,             7.7843e-05
                     49,                0.69754,                0.49117,                0.91575,                0.98147,                0.95738,                0.98112,                0.83547,                0.71361,                0.45484,                0.89374,             7.2513e-05,             7.2513e-05,             7.2513e-05
                     50,                0.69073,                0.48272,                 0.9077,                0.98524,                0.95114,                0.98546,                0.84118,                0.72306,                0.45532,                0.89533,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     51,                0.70424,                0.48894,                0.91251,                0.97783,                0.95292,                0.98287,                0.82829,                0.74254,                0.46169,                0.90602,             6.1855e-05,             6.1855e-05,             6.1855e-05
                     52,                0.68545,                0.48334,                0.90932,                0.97389,                0.96319,                0.98411,                0.83218,                0.73781,                0.46469,                0.89707,             5.6525e-05,             5.6525e-05,             5.6525e-05
                     53,                0.68037,                0.47791,                0.90101,                0.97932,                0.95829,                0.98417,                0.83552,                0.72654,                 0.4618,                0.89603,             5.1196e-05,             5.1196e-05,             5.1196e-05
                     54,                0.68794,                0.47777,                0.90942,                0.97406,                0.95705,                0.98352,                0.83911,                0.72305,                0.45793,                0.89537,             4.5866e-05,             4.5866e-05,             4.5866e-05
                     55,                0.67585,                0.47688,                 0.9079,                0.95859,                0.97156,                0.98409,                0.83615,                0.72631,                0.45864,                0.89857,             4.0537e-05,             4.0537e-05,             4.0537e-05
                     56,                0.67659,                0.47673,                0.90886,                 0.9788,                0.95667,                0.98599,                0.83313,                0.73984,                0.46094,                0.89975,             3.5207e-05,             3.5207e-05,             3.5207e-05
                     57,                0.67783,                0.47856,                0.90972,                0.98004,                0.95276,                0.98322,                0.83333,                0.74076,                 0.4611,                0.90068,             2.9878e-05,             2.9878e-05,             2.9878e-05
                     58,                0.68719,                0.47389,                0.91189,                0.97757,                0.95805,                0.98346,                  0.834,                0.72936,                0.45447,                0.89656,             2.4548e-05,             2.4548e-05,             2.4548e-05
                     59,                0.66479,                 0.4723,                0.90508,                0.97733,                0.96131,                0.98422,                0.83698,                0.71873,                0.44837,                0.89286,             1.9219e-05,             1.9219e-05,             1.9219e-05
                     60,                0.67293,                0.47277,                0.90375,                0.97325,                0.96408,                 0.9856,                0.83894,                0.71932,                0.44941,                0.89477,             1.3889e-05,             1.3889e-05,             1.3889e-05
